,mn,lossValue,Method,replicate,Time,Result
274,m50_n50,0.2,SphyR,s12,0.019,valid
275,m50_n50,0.4,SphyR,s12,0.023,valid
276,m50_n50,0.1,SphyR,s13,0.016,valid
277,m50_n50,0.2,SphyR,s13,0.041,valid
278,m50_n50,0.4,SphyR,s13,0.021,valid
279,m50_n50,0.1,SphyR,s14,0.022,valid
280,m50_n50,0.2,SphyR,s14,0.016,valid
281,m50_n50,0.4,SphyR,s14,0.016,valid
282,m50_n50,0.1,SphyR,s15,0.02,valid
283,m50_n50,0.2,SphyR,s15,0.02,valid
284,m50_n50,0.4,SphyR,s15,0.019,valid
285,m50_n50,0.1,SphyR,s16,0.019,valid
286,m50_n50,0.2,SphyR,s16,0.017,valid
287,m50_n50,0.4,SphyR,s16,0.018,valid
288,m50_n50,0.1,SphyR,s17,0.018,valid
289,m50_n50,0.2,SphyR,s17,0.017,valid
290,m50_n50,0.4,SphyR,s17,0.016,valid
291,m50_n50,0.1,SphyR,s18,0.015,valid
292,m50_n50,0.2,SphyR,s18,0.015,valid
293,m50_n50,0.4,SphyR,s18,0.017,valid
294,m50_n50,0.1,SphyR,s19,0.019,valid
295,m50_n50,0.2,SphyR,s19,0.02,valid
296,m50_n50,0.4,SphyR,s19,0.017,valid
297,m50_n50,0.1,SphyR,s20,0.018,valid
298,m50_n50,0.2,SphyR,s20,0.018,valid
299,m50_n50,0.4,SphyR,s20,0.019,valid
300,m50_n100,0.1,SphyR,s1,0.099,valid
301,m50_n100,0.2,SphyR,s1,0.091,valid
302,m50_n100,0.4,SphyR,s1,0.054,valid
303,m50_n100,0.1,SphyR,s2,0.079,valid
304,m50_n100,0.2,SphyR,s2,0.045,valid
305,m50_n100,0.4,SphyR,s2,0.05,valid
306,m50_n100,0.1,SphyR,s3,0.026,valid
307,m50_n100,0.2,SphyR,s3,0.033,valid
308,m50_n100,0.4,SphyR,s3,0.033,valid
309,m50_n100,0.1,SphyR,s4,0.129,valid
310,m50_n100,0.2,SphyR,s4,0.034,valid
311,m50_n100,0.4,SphyR,s4,0.036,valid
312,m50_n100,0.1,SphyR,s5,0.042,valid
313,m50_n100,0.2,SphyR,s5,0.047,valid
314,m50_n100,0.4,SphyR,s5,0.036,valid
315,m50_n100,0.1,SphyR,s6,0.072,valid
316,m50_n100,0.2,SphyR,s6,0.043,valid
317,m50_n100,0.4,SphyR,s6,0.067,valid
318,m50_n100,0.1,SphyR,s7,0.034,valid
319,m50_n100,0.2,SphyR,s7,0.052,valid
320,m50_n100,0.4,SphyR,s7,0.05,valid
321,m50_n100,0.1,SphyR,s8,0.044,valid
322,m50_n100,0.2,SphyR,s8,0.035,valid
323,m50_n100,0.4,SphyR,s8,0.031,valid
324,m50_n100,0.1,SphyR,s9,0.044,valid
325,m50_n100,0.2,SphyR,s9,0.065,valid
326,m50_n100,0.4,SphyR,s9,0.034,valid
327,m50_n100,0.1,SphyR,s10,0.044,valid
328,m50_n100,0.2,SphyR,s10,0.046,valid
329,m50_n100,0.4,SphyR,s10,0.039,valid
330,m50_n100,0.1,SphyR,s11,0.101,valid
331,m50_n100,0.2,SphyR,s11,0.06,valid
332,m50_n100,0.4,SphyR,s11,0.036,valid
333,m50_n100,0.1,SphyR,s12,0.071,valid
334,m50_n100,0.2,SphyR,s12,0.068,valid
335,m50_n100,0.4,SphyR,s12,0.114,valid
336,m50_n100,0.1,SphyR,s13,0.054,valid
337,m50_n100,0.2,SphyR,s13,0.045,valid
338,m50_n100,0.4,SphyR,s13,0.062,valid
339,m50_n100,0.1,SphyR,s14,0.065,valid
340,m50_n100,0.2,SphyR,s14,0.05,valid
341,m50_n100,0.4,SphyR,s14,0.023,valid
342,m50_n100,0.1,SphyR,s15,0.045,valid
343,m50_n100,0.2,SphyR,s15,0.044,valid
344,m50_n100,0.4,SphyR,s15,0.039,valid
345,m50_n100,0.1,SphyR,s16,0.044,valid
346,m50_n100,0.2,SphyR,s16,0.054,valid
347,m50_n100,0.4,SphyR,s16,0.039,valid
348,m50_n100,0.1,SphyR,s17,0.022,valid
349,m50_n100,0.2,SphyR,s17,0.101,valid
350,m50_n100,0.4,SphyR,s17,0.019,valid
351,m50_n100,0.1,SphyR,s18,0.028,valid
352,m50_n100,0.2,SphyR,s18,0.021,valid
353,m50_n100,0.4,SphyR,s18,0.044,valid
354,m50_n100,0.1,SphyR,s19,0.044,valid
355,m50_n100,0.2,SphyR,s19,0.044,valid
356,m50_n100,0.4,SphyR,s19,0.053,valid
357,m50_n100,0.1,SphyR,s20,0.039,valid
358,m50_n100,0.2,SphyR,s20,0.038,valid
359,m50_n100,0.4,SphyR,s20,0.038,valid
360,m100_n25,0.1,SphyR,s1,0.01,valid
361,m100_n25,0.2,SphyR,s1,0.012,valid
362,m100_n25,0.4,SphyR,s1,0.015,valid
363,m100_n25,0.1,SphyR,s2,0.012,valid
364,m100_n25,0.2,SphyR,s2,0.017,valid
365,m100_n25,0.4,SphyR,s2,0.018,valid
366,m100_n25,0.1,SphyR,s3,0.012,valid
367,m100_n25,0.2,SphyR,s3,0.018,valid
368,m100_n25,0.4,SphyR,s3,0.018,valid
369,m100_n25,0.1,SphyR,s4,0.017,valid
370,m100_n25,0.2,SphyR,s4,0.017,valid
371,m100_n25,0.4,SphyR,s4,0.018,valid
372,m100_n25,0.1,SphyR,s5,0.012,valid
373,m100_n25,0.2,SphyR,s5,0.012,valid
374,m100_n25,0.4,SphyR,s5,0.012,valid
375,m100_n25,0.1,SphyR,s6,0.015,valid
376,m100_n25,0.2,SphyR,s6,0.015,valid
377,m100_n25,0.4,SphyR,s6,0.015,valid
378,m100_n25,0.1,SphyR,s7,0.017,valid
379,m100_n25,0.2,SphyR,s7,0.017,valid
380,m100_n25,0.4,SphyR,s7,0.015,valid
381,m100_n25,0.1,SphyR,s8,0.019,valid
382,m100_n25,0.2,SphyR,s8,0.02,valid
383,m100_n25,0.4,SphyR,s8,0.019,valid
384,m100_n25,0.1,SphyR,s9,0.014,valid
385,m100_n25,0.2,SphyR,s9,0.015,valid
386,m100_n25,0.4,SphyR,s9,0.014,valid
387,m100_n25,0.1,SphyR,s10,0.017,valid
388,m100_n25,0.2,SphyR,s10,0.016,valid
389,m100_n25,0.4,SphyR,s10,0.017,valid
390,m100_n25,0.1,SphyR,s11,0.017,valid
391,m100_n25,0.2,SphyR,s11,0.016,valid
392,m100_n25,0.4,SphyR,s11,0.015,valid
393,m100_n25,0.1,SphyR,s12,0.016,valid
394,m100_n25,0.2,SphyR,s12,0.015,valid
395,m100_n25,0.4,SphyR,s12,0.012,valid
396,m100_n25,0.1,SphyR,s13,0.01,valid
397,m100_n25,0.2,SphyR,s13,0.014,valid
398,m100_n25,0.4,SphyR,s13,0.013,valid
399,m100_n25,0.1,SphyR,s14,0.015,valid
400,m100_n25,0.2,SphyR,s14,0.014,valid
401,m100_n25,0.4,SphyR,s14,0.014,valid
402,m100_n25,0.1,SphyR,s15,0.015,valid
403,m100_n25,0.2,SphyR,s15,0.016,valid
404,m100_n25,0.4,SphyR,s15,0.015,valid
405,m100_n25,0.1,SphyR,s16,0.019,valid
406,m100_n25,0.2,SphyR,s16,0.018,valid
407,m100_n25,0.4,SphyR,s16,0.017,valid
408,m100_n25,0.1,SphyR,s17,0.013,valid
409,m100_n25,0.2,SphyR,s17,0.014,valid
410,m100_n25,0.4,SphyR,s17,0.013,valid
411,m100_n25,0.1,SphyR,s18,0.018,valid
412,m100_n25,0.2,SphyR,s18,0.017,valid
413,m100_n25,0.4,SphyR,s18,0.019,valid
414,m100_n25,0.1,SphyR,s19,0.014,valid
415,m100_n25,0.2,SphyR,s19,0.015,valid
416,m100_n25,0.4,SphyR,s19,0.011,valid
417,m100_n25,0.1,SphyR,s20,0.011,valid
418,m100_n25,0.2,SphyR,s20,0.011,valid
419,m100_n25,0.4,SphyR,s20,0.011,valid
420,m100_n50,0.1,SphyR,s1,0.013,valid
421,m100_n50,0.2,SphyR,s1,0.022,valid
422,m100_n50,0.4,SphyR,s1,0.021,valid
423,m100_n50,0.1,SphyR,s2,0.018,valid
424,m100_n50,0.2,SphyR,s2,0.021,valid
425,m100_n50,0.4,SphyR,s2,0.022,valid
426,m100_n50,0.1,SphyR,s3,0.024,valid
427,m100_n50,0.2,SphyR,s3,0.028,valid
428,m100_n50,0.4,SphyR,s3,0.025,valid
429,m100_n50,0.1,SphyR,s4,0.029,valid
430,m100_n50,0.2,SphyR,s4,0.025,valid
431,m100_n50,0.4,SphyR,s4,0.022,valid
432,m100_n50,0.1,SphyR,s5,0.048,valid
433,m100_n50,0.2,SphyR,s5,0.086,valid
434,m100_n50,0.4,SphyR,s5,0.033,valid
435,m100_n50,0.1,SphyR,s6,0.031,valid
436,m100_n50,0.2,SphyR,s6,0.028,valid
437,m100_n50,0.4,SphyR,s6,0.034,valid
438,m100_n50,0.1,SphyR,s7,0.025,valid
439,m100_n50,0.2,SphyR,s7,0.033,valid
440,m100_n50,0.4,SphyR,s7,0.036,valid
441,m100_n50,0.1,SphyR,s8,0.029,valid
442,m100_n50,0.2,SphyR,s8,0.03,valid
443,m100_n50,0.4,SphyR,s8,0.028,valid
444,m100_n50,0.1,SphyR,s9,0.036,valid
445,m100_n50,0.2,SphyR,s9,0.038,valid
446,m100_n50,0.4,SphyR,s9,0.035,valid
447,m100_n50,0.1,SphyR,s10,0.074,valid
448,m100_n50,0.2,SphyR,s10,0.094,valid
449,m100_n50,0.4,SphyR,s10,0.032,valid
450,m100_n50,0.1,SphyR,s11,0.026,valid
451,m100_n50,0.2,SphyR,s11,0.024,valid
452,m100_n50,0.4,SphyR,s11,0.025,valid
453,m100_n50,0.1,SphyR,s12,0.03,valid
454,m100_n50,0.2,SphyR,s12,0.028,valid
455,m100_n50,0.4,SphyR,s12,0.029,valid
456,m100_n50,0.1,SphyR,s13,0.018,valid
457,m100_n50,0.2,SphyR,s13,0.019,valid
458,m100_n50,0.4,SphyR,s13,0.017,valid
459,m100_n50,0.1,SphyR,s14,0.04,valid
460,m100_n50,0.2,SphyR,s14,0.036,valid
461,m100_n50,0.4,SphyR,s14,0.031,valid
462,m100_n50,0.1,SphyR,s15,0.03,valid
463,m100_n50,0.2,SphyR,s15,0.036,valid
464,m100_n50,0.4,SphyR,s15,0.035,valid
465,m100_n50,0.1,SphyR,s16,0.033,valid
466,m100_n50,0.2,SphyR,s16,0.032,valid
467,m100_n50,0.4,SphyR,s16,0.035,valid
468,m100_n50,0.1,SphyR,s17,0.023,valid
469,m100_n50,0.2,SphyR,s17,0.029,valid
470,m100_n50,0.4,SphyR,s17,0.024,valid
471,m100_n50,0.1,SphyR,s18,0.029,valid
472,m100_n50,0.2,SphyR,s18,0.034,valid
473,m100_n50,0.4,SphyR,s18,0.04,valid
474,m100_n50,0.1,SphyR,s19,0.027,valid
475,m100_n50,0.2,SphyR,s19,0.03,valid
476,m100_n50,0.4,SphyR,s19,0.027,valid
477,m100_n50,0.1,SphyR,s20,0.032,valid
478,m100_n50,0.2,SphyR,s20,0.03,valid
479,m100_n50,0.4,SphyR,s20,0.034,valid
480,m100_n100,0.1,SphyR,s1,0.094,valid
481,m100_n100,0.2,SphyR,s1,0.067,valid
482,m100_n100,0.4,SphyR,s1,0.062,valid
483,m100_n100,0.1,SphyR,s2,0.055,valid
484,m100_n100,0.2,SphyR,s2,0.059,valid
485,m100_n100,0.4,SphyR,s2,0.051,valid
486,m100_n100,0.1,SphyR,s3,0.131,valid
487,m100_n100,0.2,SphyR,s3,0.191,valid
488,m100_n100,0.4,SphyR,s3,0.074,valid
489,m100_n100,0.1,SphyR,s4,0.257,valid
490,m100_n100,0.2,SphyR,s4,0.169,valid
491,m100_n100,0.4,SphyR,s4,0.073,valid
492,m100_n100,0.1,SphyR,s5,0.166,valid
493,m100_n100,0.2,SphyR,s5,0.366,valid
494,m100_n100,0.4,SphyR,s5,0.127,valid
495,m100_n100,0.1,SphyR,s6,0.162,valid
496,m100_n100,0.2,SphyR,s6,0.158,valid
497,m100_n100,0.4,SphyR,s6,0.134,valid
498,m100_n100,0.1,SphyR,s7,0.065,valid
499,m100_n100,0.2,SphyR,s7,0.08,valid
500,m100_n100,0.4,SphyR,s7,0.065,valid
501,m100_n100,0.1,SphyR,s8,0.124,valid
502,m100_n100,0.2,SphyR,s8,0.133,valid
503,m100_n100,0.4,SphyR,s8,0.092,valid
504,m100_n100,0.1,SphyR,s9,0.134,valid
505,m100_n100,0.2,SphyR,s9,0.202,valid
506,m100_n100,0.4,SphyR,s9,0.113,valid
507,m100_n100,0.1,SphyR,s10,0.112,valid
508,m100_n100,0.2,SphyR,s10,0.183,valid
509,m100_n100,0.4,SphyR,s10,0.054,valid
510,m100_n100,0.1,SphyR,s11,0.043,valid
511,m100_n100,0.2,SphyR,s11,0.041,valid
512,m100_n100,0.4,SphyR,s11,0.043,valid
513,m100_n100,0.1,SphyR,s12,0.13,valid
514,m100_n100,0.2,SphyR,s12,0.08,valid
515,m100_n100,0.4,SphyR,s12,0.076,valid
516,m100_n100,0.1,SphyR,s13,0.055,valid
517,m100_n100,0.2,SphyR,s13,0.097,valid
518,m100_n100,0.4,SphyR,s13,0.075,valid
519,m100_n100,0.1,SphyR,s14,0.072,valid
520,m100_n100,0.2,SphyR,s14,0.08,valid
521,m100_n100,0.4,SphyR,s14,0.079,valid
522,m100_n100,0.1,SphyR,s15,0.089,valid
523,m100_n100,0.2,SphyR,s15,0.087,valid
524,m100_n100,0.4,SphyR,s15,0.149,valid
525,m100_n100,0.1,SphyR,s16,0.443,valid
526,m100_n100,0.2,SphyR,s16,0.124,valid
527,m100_n100,0.4,SphyR,s16,0.126,valid
528,m100_n100,0.1,SphyR,s17,0.136,valid
529,m100_n100,0.2,SphyR,s17,0.215,valid
530,m100_n100,0.4,SphyR,s17,0.163,valid
531,m100_n100,0.1,SphyR,s18,0.147,valid
532,m100_n100,0.2,SphyR,s18,0.335,valid
533,m100_n100,0.4,SphyR,s18,0.076,valid
534,m100_n100,0.1,SphyR,s19,0.068,valid
535,m100_n100,0.2,SphyR,s19,0.078,valid
536,m100_n100,0.4,SphyR,s19,0.069,valid
537,m100_n100,0.1,SphyR,s20,0.089,valid
538,m100_n100,0.2,SphyR,s20,0.103,valid
539,m100_n100,0.4,SphyR,s20,0.095,valid
